OPC (%),CC (%),LP (%),NC (%),GYP (%),S/B,W/B,SP (%),Time,PV (Pa.s)
100,0,0,0,0,1.5,0.4,0.5,0,9.3
75,0,23,0,2,1.5,0.5,1,0,9.8
72.5,5,20.5,0,2,1.5,0.5,1,0,12.7
70,10,18,0,2,1.5,0.5,1,0,14.9
67.5,15,15.5,0,2,1.5,0.5,1,0,16.8
65,20,13,0,2,1.5,0.5,1.5,0,18.3
62.5,25,10.5,0,2,1.5,0.5,1.5,0,21.8
60,30,8,0,2,1.5,0.5,1.5,0,24.5
57.5,35,5.5,0,2,1.5,0.5,1.5,0,28.7
55,40,3,0,2,1.5,0.5,1.5,0,33.5
55,43,0,0,2,1.5,0.5,1.5,0,38.3
75,15,8,0,2,1.5,0.5,1.5,0,17.6
70,18,10,0,2,1.5,0.5,1.5,0,19.1
65,21,12,0,2,1.5,0.5,1.5,0,21.3
60,24,14,0,2,1.5,0.5,1.5,0,23.4
55,27,16,0,2,1.5,0.5,1.5,0,24.1
50,30,17,0,3,1.5,0.5,1.5,0,25.8
45,34,18,0,3,1.5,0.5,1.5,0,27.9
67.5,15,15.5,0,2,2.5,0.5,1.5,0,23.6
65,20,13,0,2,0.5,0.5,1.5,0,12.3
75,15,8,0,2,1.5,0.5,1.5,0,13.3
70,18,10,0,2,1.5,0.45,1.5,0,24.5
55,27,16,0,2,1.5,0.5,1,0,28
50,30,17,0,3,1.5,0.5,2.5,0,21.8
60,30,8,0,2,2,0.45,1.5,0,29.8
57.5,35,5.5,0,2,1.5,0.55,2.5,0,22.7
72.5,5,20.5,0,2,2,0.45,1.5,0,11.7
40,37,20,0,3,1.5,0.5,1.5,0,30.1
65,20,13,0.5,2,1.5,0.52,1.5,0,21.8
60,30,8,1,2,1.5,0.52,1.5,0,28.7
75,15,8,2,2,1.5,0.52,1.5,0,21.7
65,21,12,3,2,1.5,0.55,1.5,0,25.4
60,24,14,4,2,1.5,0.55,1.5,0,27.9
55,27,16,1.25,2,1.5,0.55,1.5,0,28.3
55,27,16,2.5,2,1.5,0.55,1.5,0,30.1
55,27,16,3.75,2,1.5,0.55,1.5,0,33.7
55,27,16,5,2,1.5,0.55,1.5,0,35.9
100,0,0,0,0,1.5,0.4,0.5,1,13.5
75,0,23,0,2,1.5,0.5,1,1,13.2
72.5,5,20.5,0,2,1.5,0.5,1,1,15.7
70,10,18,0,2,1.5,0.5,1,1,17.3
67.5,15,15.5,0,2,1.5,0.5,1,1,19.5
65,20,13,0,2,1.5,0.5,1.5,1,23.6
62.5,25,10.5,0,2,1.5,0.5,1.5,1,24.1
60,30,8,0,2,1.5,0.5,1.5,1,26.7
57.5,35,5.5,0,2,1.5,0.5,1.5,1,33.5
55,40,3,0,2,1.5,0.5,1.5,1,37.6
55,43,0,0,2,1.5,0.5,1.5,1,41.3
75,15,8,0,2,1.5,0.5,1.5,1,19.7
70,18,10,0,2,1.5,0.5,1.5,1,21.3
65,21,12,0,2,1.5,0.5,1.5,1,24.9
60,24,14,0,2,1.5,0.5,1.5,1,26.5
55,27,16,0,2,1.5,0.5,1.5,1,28.6
50,30,17,0,3,1.5,0.5,1.5,1,31
45,34,18,0,3,1.5,0.5,1.5,1,32.5
67.5,15,15.5,0,2,2.5,0.5,1.5,1,27.3
65,20,13,0,2,0.5,0.5,1.5,1,14.5
75,15,8,0,2,1.5,0.5,1.5,1,16.3
70,18,10,0,2,1.5,0.45,1.5,1,27.5
55,27,16,0,2,1.5,0.5,1,1,32.1
50,30,17,0,3,1.5,0.5,2.5,1,25
60,30,8,0,2,2,0.45,1.5,1,34.2
57.5,35,5.5,0,2,1.5,0.55,2.5,1,25.7
72.5,5,20.5,0,2,2,0.45,1.5,1,14.7
40,37,20,0,3,1.5,0.5,1.5,1,33.1
65,20,13,0.5,2,1.5,0.52,1.5,1,24.1
60,30,8,1,2,1.5,0.52,1.5,1,32.9
75,15,8,2,2,1.5,0.52,1.5,1,25.6
65,21,12,3,2,1.5,0.55,1.5,1,28.6
60,24,14,4,2,1.5,0.55,1.5,1,33.6
55,27,16,1.25,2,1.5,0.55,1.5,1,34.3
55,27,16,2.5,2,1.5,0.55,1.5,1,33.2
55,27,16,3.75,2,1.5,0.55,1.5,1,36.3
55,27,16,5,2,1.5,0.55,1.5,1,38.7
