OPC (%),CC (%),LP (%),NC (%),GYP (%),S/B,W/B,SP (%),Time,SYS (Pa)
100,0,0,0,0,1.5,0.4,0.5,0,750
75,0,23,0,2,1.5,0.5,1,0,725
72.5,5,20.5,0,2,1.5,0.5,1,0,773
70,10,18,0,2,1.5,0.5,1,0,810
67.5,15,15.5,0,2,1.5,0.5,1,0,973
65,20,13,0,2,1.5,0.5,1.5,0,1150
62.5,25,10.5,0,2,1.5,0.5,1.5,0,1435
60,30,8,0,2,1.5,0.5,1.5,0,1666
57.5,35,5.5,0,2,1.5,0.5,1.5,0,1933
55,40,3,0,2,1.5,0.5,1.5,0,2243
55,43,0,0,2,1.5,0.5,1.5,0,2576
75,15,8,0,2,1.5,0.5,1.5,0,1015
70,18,10,0,2,1.5,0.5,1.5,0,1124
65,21,12,0,2,1.5,0.5,1.5,0,1213
60,24,14,0,2,1.5,0.5,1.5,0,1379
55,27,16,0,2,1.5,0.5,1.5,0,1475
50,30,17,0,3,1.5,0.5,1.5,0,1590
45,34,18,0,3,1.5,0.5,1.5,0,1694
67.5,15,15.5,0,2,2.5,0.5,1.5,0,1420
65,20,13,0,2,0.5,0.5,1.5,0,755
75,15,8,0,2,1.5,0.5,1.5,0,714
70,18,10,0,2,1.5,0.45,1.5,0,1324
55,27,16,0,2,1.5,0.5,1,0,1775
50,30,17,0,3,1.5,0.5,2.5,0,1190
60,30,8,0,2,2,0.45,1.5,0,2221
57.5,35,5.5,0,2,1.5,0.55,2.5,0,1331
72.5,5,20.5,0,2,2,0.45,1.5,0,863
40,37,20,0,3,1.5,0.5,1.5,0,1803
65,20,13,0.5,2,1.5,0.52,1.5,0,1478
60,30,8,1,2,1.5,0.52,1.5,0,2135
75,15,8,2,2,1.5,0.52,1.5,0,1437
65,21,12,3,2,1.5,0.55,1.5,0,1631
60,24,14,4,2,1.5,0.55,1.5,0,1666
55,27,16,1.25,2,1.5,0.55,1.5,0,1857
55,27,16,2.5,2,1.5,0.55,1.5,0,1911
55,27,16,3.75,2,1.5,0.55,1.5,0,1803
55,27,16,5,2,1.5,0.55,1.5,0,1776
100,0,0,0,0,1.5,0.4,0.5,1,1060
75,0,23,0,2,1.5,0.5,1,1,923
72.5,5,20.5,0,2,1.5,0.5,1,1,1076
70,10,18,0,2,1.5,0.5,1,1,1103
67.5,15,15.5,0,2,1.5,0.5,1,1,1184
65,20,13,0,2,1.5,0.5,1.5,1,1400.5
62.5,25,10.5,0,2,1.5,0.5,1.5,1,1678
60,30,8,0,2,1.5,0.5,1.5,1,1802
57.5,35,5.5,0,2,1.5,0.5,1.5,1,2009
55,40,3,0,2,1.5,0.5,1.5,1,2456
55,43,0,0,2,1.5,0.5,1.5,1,2787
75,15,8,0,2,1.5,0.5,1.5,1,1121
70,18,10,0,2,1.5,0.5,1.5,1,1246
65,21,12,0,2,1.5,0.5,1.5,1,1491
60,24,14,0,2,1.5,0.5,1.5,1,1594
55,27,16,0,2,1.5,0.5,1.5,1,1644
50,30,17,0,3,1.5,0.5,1.5,1,1730
45,34,18,0,3,1.5,0.5,1.5,1,2001
67.5,15,15.5,0,2,2.5,0.5,1.5,1,1679
65,20,13,0,2,0.5,0.5,1.5,1,824
75,15,8,0,2,1.5,0.5,1.5,1,779
70,18,10,0,2,1.5,0.45,1.5,1,1546
55,27,16,0,2,1.5,0.5,1,1,1944
50,30,17,0,3,1.5,0.5,2.5,1,1230
60,30,8,0,2,2,0.45,1.5,1,2548
57.5,35,5.5,0,2,1.5,0.55,2.5,1,1535
72.5,5,20.5,0,2,2,0.45,1.5,1,1125
40,37,20,0,3,1.5,0.5,1.5,1,2095
65,20,13,0.5,2,1.5,0.52,1.5,1,1736
60,30,8,1,2,1.5,0.52,1.5,1,2234
75,15,8,2,2,1.5,0.52,1.5,1,1622
65,21,12,3,2,1.5,0.55,1.5,1,1843
60,24,14,4,2,1.5,0.55,1.5,1,1804
55,27,16,1.25,2,1.5,0.55,1.5,1,1998
55,27,16,2.5,2,1.5,0.55,1.5,1,2138
55,27,16,3.75,2,1.5,0.55,1.5,1,1978
55,27,16,5,2,1.5,0.55,1.5,1,1953
